image_id,sat_image_path,mask_path
0,image/96.tif,label/96.tif
460,image/78.tif,label/78.tif
920,image/87.tif,label/87.tif
1380,image/366.tif,label/366.tif
1840,image/528.tif,label/528.tif
2300,image/447.tif,label/447.tif
2760,image/564.tif,label/564.tif
3220,image/483.tif,label/483.tif
3680,image/168.tif,label/168.tif
4140,image/384.tif,label/384.tif
4600,image/546.tif,label/546.tif
5060,image/582.tif,label/582.tif
5520,image/267.tif,label/267.tif
5980,image/186.tif,label/186.tif
6440,image/348.tif,label/348.tif
6900,image/375.tif,label/375.tif
7360,image/456.tif,label/456.tif
7820,image/294.tif,label/294.tif
8280,image/492.tif,label/492.tif
8740,image/258.tif,label/258.tif
9200,image/339.tif,label/339.tif
9660,image/555.tif,label/555.tif
10120,image/474.tif,label/474.tif
10580,image/159.tif,label/159.tif
11040,image/591.tif,label/591.tif
11500,image/438.tif,label/438.tif
11960,image/276.tif,label/276.tif
12420,image/195.tif,label/195.tif
12880,image/519.tif,label/519.tif
13340,image/520.tif,label/520.tif
13800,image/124.tif,label/124.tif
14260,image/160.tif,label/160.tif
14720,image/322.tif,label/322.tif
15180,image/403.tif,label/403.tif
15640,image/142.tif,label/142.tif
16100,image/304.tif,label/304.tif
16560,image/223.tif,label/223.tif
17020,image/106.tif,label/106.tif
17480,image/502.tif,label/502.tif
17940,image/340.tif,label/340.tif
18400,image/610.tif,label/610.tif
18860,image/7.tif,label/7.tif
19320,image/214.tif,label/214.tif
19780,image/331.tif,label/331.tif
20240,image/250.tif,label/250.tif
20700,image/412.tif,label/412.tif
21160,image/151.tif,label/151.tif
21620,image/232.tif,label/232.tif
22080,image/115.tif,label/115.tif
22540,image/511.tif,label/511.tif
23000,image/430.tif,label/430.tif
23460,image/43.tif,label/43.tif
23920,image/70.tif,label/70.tif
24380,image/34.tif,label/34.tif
24840,image/16.tif,label/16.tif
25300,image/599.tif,label/599.tif
25760,image/52.tif,label/52.tif
26220,image/120.tif,label/120.tif
26680,image/300.tif,label/300.tif
27140,image/102.tif,label/102.tif
27600,image/3.tif,label/3.tif
28060,image/210.tif,label/210.tif
28520,image/111.tif,label/111.tif
28980,image/568.tif,label/568.tif
29440,image/487.tif,label/487.tif
29900,image/388.tif,label/388.tif
30360,image/586.tif,label/586.tif
30820,image/379.tif,label/379.tif
31280,image/298.tif,label/298.tif
31740,image/30.tif,label/30.tif
32200,image/496.tif,label/496.tif
32660,image/12.tif,label/12.tif
33120,image/559.tif,label/559.tif
33580,image/478.tif,label/478.tif
34040,image/595.tif,label/595.tif
34500,image/199.tif,label/199.tif
34960,image/443.tif,label/443.tif
35420,image/524.tif,label/524.tif
35880,image/362.tif,label/362.tif
36340,image/128.tif,label/128.tif
36800,image/560.tif,label/560.tif
37260,image/407.tif,label/407.tif
37720,image/164.tif,label/164.tif
38180,image/326.tif,label/326.tif
38640,image/542.tif,label/542.tif
39100,image/380.tif,label/380.tif
39560,image/227.tif,label/227.tif
40020,image/146.tif,label/146.tif
40480,image/308.tif,label/308.tif
40940,image/263.tif,label/263.tif
41400,image/506.tif,label/506.tif
41860,image/182.tif,label/182.tif
42320,image/344.tif,label/344.tif
42780,image/452.tif,label/452.tif
43240,image/290.tif,label/290.tif
43700,image/371.tif,label/371.tif
44160,image/218.tif,label/218.tif
44620,image/416.tif,label/416.tif
45080,image/254.tif,label/254.tif
45540,image/335.tif,label/335.tif
46000,image/470.tif,label/470.tif
46460,image/551.tif,label/551.tif
46920,image/236.tif,label/236.tif
47380,image/155.tif,label/155.tif
47840,image/119.tif,label/119.tif
48300,image/434.tif,label/434.tif
48760,image/272.tif,label/272.tif
49220,image/191.tif,label/191.tif
49680,image/515.tif,label/515.tif
50140,image/83.tif,label/83.tif
50600,image/47.tif,label/47.tif
51060,image/74.tif,label/74.tif
51520,image/38.tif,label/38.tif
51980,image/92.tif,label/92.tif
52440,image/56.tif,label/56.tif
52900,image/98.tif,label/98.tif
53360,image/100.tif,label/100.tif
53820,image/368.tif,label/368.tif
54280,image/287.tif,label/287.tif
54740,image/566.tif,label/566.tif
55200,image/386.tif,label/386.tif
55660,image/548.tif,label/548.tif
56120,image/467.tif,label/467.tif
56580,image/188.tif,label/188.tif
57040,image/584.tif,label/584.tif
57500,image/539.tif,label/539.tif
57960,image/458.tif,label/458.tif
58420,image/296.tif,label/296.tif
58880,image/179.tif,label/179.tif
59340,image/575.tif,label/575.tif
59800,image/494.tif,label/494.tif
60260,image/395.tif,label/395.tif
60720,image/476.tif,label/476.tif
61180,image/10.tif,label/10.tif
61640,image/359.tif,label/359.tif
62100,image/278.tif,label/278.tif
62560,image/207.tif,label/207.tif
63020,image/126.tif,label/126.tif
63480,image/603.tif,label/603.tif
63940,image/522.tif,label/522.tif
64400,image/360.tif,label/360.tif
64860,image/243.tif,label/243.tif
65320,image/162.tif,label/162.tif
65780,image/324.tif,label/324.tif
66240,image/144.tif,label/144.tif
66700,image/306.tif,label/306.tif
67160,image/540.tif,label/540.tif
67620,image/423.tif,label/423.tif
68080,image/180.tif,label/180.tif
68540,image/504.tif,label/504.tif
69000,image/342.tif,label/342.tif
69460,image/108.tif,label/108.tif
69920,image/216.tif,label/216.tif
70380,image/135.tif,label/135.tif
70840,image/450.tif,label/450.tif
71300,image/612.tif,label/612.tif
71760,image/531.tif,label/531.tif
72220,image/414.tif,label/414.tif
72680,image/252.tif,label/252.tif
73140,image/171.tif,label/171.tif
73600,image/234.tif,label/234.tif
74060,image/315.tif,label/315.tif
